"Age","EdLevel","Employment","Gender","MentalHealth","MainBranch","YearsCode","YearsCodePro","PreviousSalary","ComputerSkills","SQL","python","java","c_plus_plus","cloud","Continent","class"
0,0,1,0,0,0,7,4,51552,4,1,1,0,1,0,2,0
0,4,1,0,0,0,12,5,46482,12,1,0,1,0,1,2,1
0,0,1,0,0,0,15,6,77290,7,0,0,1,1,0,2,0
0,4,1,0,0,0,9,6,46135,13,1,0,1,0,1,3,0
0,0,1,0,0,0,9,2,38915,5,1,1,1,0,0,2,0
1,0,1,0,0,0,26,18,77831,17,1,0,1,1,1,2,1
0,0,1,0,0,1,14,5,81319,4,0,1,0,1,0,2,0
1,4,1,0,0,0,39,21,68507,3,1,1,0,0,0,2,0
1,0,1,0,0,0,20,16,37752,6,1,0,1,0,0,2,0
0,4,1,0,1,0,4,2,122580,18,1,1,1,0,1,1,1
0,4,1,0,1,0,6,2,11832,13,1,0,1,1,0,1,1
0,0,1,0,0,0,19,10,60535,5,0,1,1,1,0,2,0
0,4,1,0,0,0,8,0,103000,7,0,0,1,1,0,3,0
0,0,1,0,0,1,6,3,25944,5,0,1,0,1,0,2,0
1,4,1,0,1,0,22,15,60480,16,1,0,1,1,1,6,1
0,2,1,0,1,0,7,1,20556,5,1,0,0,1,0,5,0
0,4,1,0,0,0,12,6,25944,25,1,0,1,1,1,2,1
1,0,1,0,1,0,34,12,64630,14,1,1,1,0,0,2,1
1,0,1,0,0,0,21,16,54049,17,1,0,1,1,1,2,1
0,2,1,0,0,1,5,3,22644,12,1,1,1,0,1,2,0
1,2,1,0,1,0,25,10,71850,6,1,0,0,1,0,3,0
1,0,1,0,0,0,20,10,58373,7,0,0,1,0,1,2,1
1,4,1,0,0,0,24,18,129266,12,1,0,1,0,1,2,0
0,0,1,0,0,1,10,2,25944,7,0,1,0,1,0,2,0
1,4,1,0,0,0,25,15,105000,6,0,0,1,0,0,3,0
1,3,1,0,0,0,10,8,151263,8,0,1,0,0,1,3,0
1,4,1,0,0,1,10,3,40500,8,1,1,1,0,0,2,0
0,4,0,0,0,0,12,7,43908,24,1,1,1,1,1,2,1
0,0,1,0,0,0,25,6,42336,21,1,0,1,0,1,2,1
1,2,1,0,0,0,31,17,95295,10,1,0,0,1,1,3,1
0,3,1,0,0,0,18,1,1e+05,8,0,1,0,1,1,3,0
1,4,1,0,0,0,26,14,61398,10,1,1,1,1,1,2,1
0,1,1,0,1,1,20,10,108098,17,0,1,1,1,0,2,1
0,4,1,0,0,0,10,4,27336,21,1,0,1,0,1,2,1
0,0,1,0,0,0,10,7,5216,4,0,0,0,0,1,2,0
0,0,0,0,0,0,8,3,151337,11,1,0,1,0,1,2,0
0,2,0,0,1,0,18,8,24648,18,1,0,1,1,1,2,1
0,4,1,0,0,0,4,1,7788,5,0,1,0,0,1,1,0
1,0,1,0,0,0,38,26,134176,14,1,0,1,1,1,2,1
0,4,1,0,0,0,10,3,64630,8,1,0,1,0,0,2,1
0,4,1,0,0,0,10,8,38915,13,1,1,1,0,0,2,1
0,4,1,0,0,0,8,3,4944,11,1,1,1,0,0,0,0
0,0,1,0,0,0,13,2,14268,17,1,1,1,0,1,2,1
0,4,1,0,0,0,10,2,43239,17,1,1,1,0,0,2,1
0,1,1,0,0,0,3,0,48,8,0,0,1,0,0,5,0
0,4,1,0,0,0,12,6,140000,14,1,0,1,1,1,3,1
0,2,1,0,0,0,6,4,14124,26,1,1,1,1,1,1,1
1,2,1,0,1,1,6,5,101916,7,1,1,0,0,1,1,0
0,0,0,0,0,0,17,8,21000,7,1,0,0,1,1,1,0
0,4,1,0,0,0,7,1,54000,10,1,0,1,1,1,3,1
0,4,1,0,0,0,17,5,36324,23,1,1,1,1,1,2,1
0,4,1,0,1,0,1,3,38778,20,1,1,1,1,1,2,1
0,2,0,0,0,0,5,3,48600,28,1,1,1,0,1,2,1
1,0,0,0,0,0,30,25,59454,10,1,0,1,1,1,2,1
0,4,1,1,0,0,4,2,14652,8,1,0,1,0,1,5,0
0,0,1,0,0,0,27,11,97288,22,1,1,1,1,1,2,1
0,2,1,1,0,0,15,5,75492,6,0,0,1,1,0,2,0
0,0,0,0,0,1,2,2,36000,5,1,0,0,0,1,1,0
0,0,1,0,0,0,7,5,49725,12,1,0,1,0,0,2,1
1,4,1,0,0,0,31,25,70047,11,1,0,0,1,1,2,1
0,4,1,0,1,1,15,4,98500,23,1,1,1,1,0,3,1
0,4,0,0,0,0,20,7,2340,19,1,1,1,0,0,1,1
0,0,1,0,0,1,9,6,43908,13,1,1,1,0,1,2,1
0,4,1,0,0,0,8,7,103408,15,0,1,1,1,1,5,1
0,0,1,0,0,0,13,8,42000,18,1,0,1,1,1,5,1
0,4,1,0,0,1,7,4,105072,2,0,1,0,0,0,1,0
1,4,1,0,0,0,8,4,17412,6,1,0,1,0,0,5,0
0,2,0,0,1,0,4,2,14844,9,1,1,1,0,0,5,0
1,0,1,0,0,1,3,3,98321,5,1,1,0,0,1,3,0
1,2,1,0,0,0,16,14,54049,17,1,0,1,1,1,2,1
1,0,0,0,0,0,26,24,115784,15,1,0,1,0,1,2,1
0,4,1,0,0,0,10,6,56616,11,1,1,1,0,0,2,0
0,4,1,0,0,0,14,11,69183,7,0,0,1,0,1,2,0
1,4,1,0,0,0,24,18,25944,12,1,0,1,0,1,2,1
1,2,1,0,0,0,35,25,60752,4,0,0,1,1,0,2,0
1,4,1,0,0,0,6,3,16704,22,1,1,0,1,1,2,0
1,4,1,0,0,0,23,15,81420,18,1,0,1,1,1,5,0
0,4,1,0,0,0,7,3,14280,5,0,0,1,0,0,1,0
1,0,1,0,0,0,20,13,84019,15,1,0,1,0,1,2,1
1,4,1,0,0,0,20,18,63648,20,1,0,1,1,1,1,1
0,4,1,0,0,0,5,1,4620,17,1,1,1,1,0,0,1
0,0,1,0,0,0,10,9,70000,15,1,1,1,1,1,3,0
0,2,1,0,0,0,12,7,91883,20,1,0,1,0,1,2,0
0,0,1,0,0,0,3,2,30192,7,1,1,1,0,0,2,0
0,4,1,0,1,0,10,5,90000,12,1,0,0,1,1,3,1
1,4,1,0,0,0,20,20,21600,20,1,1,1,1,1,6,1
0,4,1,0,0,0,15,6,50592,9,1,0,0,1,1,2,1
0,4,1,0,1,0,9,4,28536,14,1,0,1,0,0,2,0
1,0,1,0,0,1,4,2,96874,14,1,1,0,1,1,4,0
1,4,1,0,0,0,24,14,77556,15,1,1,1,0,1,2,1
1,4,0,0,0,0,21,14,103408,19,1,0,1,1,1,2,1
1,4,1,0,0,0,28,22,121979,7,0,0,0,1,1,2,0
0,3,1,0,1,0,15,9,75492,14,1,1,1,1,1,2,0
0,4,0,0,0,0,10,8,84316,29,1,1,1,0,1,2,1
1,4,1,0,0,0,31,26,43404,16,1,0,1,0,1,2,0
0,4,1,0,0,0,6,2,22584,14,1,0,1,1,1,6,1
0,4,1,0,0,0,14,7,103408,4,0,0,1,0,0,2,0
0,0,1,0,0,0,15,5,44320,20,1,0,1,0,0,2,1
1,4,1,0,1,0,30,22,165000,29,1,1,1,0,1,3,1
0,4,1,0,1,0,13,3,5268,13,1,0,1,0,1,1,1
0,2,1,0,1,0,10,5,51888,14,1,0,1,0,1,2,0
